Title;ID;Description;Date;Hour;Class;Price;Categoria;Tipo;Condomínio;IPTU;Área útil;Quartos;Banheiros;Vagas na garagem;Detalhes do imóvel;Detalhes do condominio;CEP;Município;Bairro;Logradouro;Link
SÃO PAULO - Apartamento Padrão - VILA MARIANA;970013226;Código do anúncio: 29621ML  Apartamento na Vila Mariana, com 2 dormitórios, 1 suíte, 1 banheiro social, sala ampla para 2 ambientes, piso taco, cozinha, lavanderia, quarto e banheiro de empregada, 1 vaga.      . Pontos de Interesse mais Próximos:       Metrô ANA ROSA a 465m.    Ponto de onibus a 98m.    Ciclovia LIBERDADE / VERGUEIRO, com extensão de 233m a uma distância de 503m.    Escola ETAPA III (ENEM: 706.12) a 457m.    Parque ACLIMACAO (Área: 136477m) a 843m.;16/12;15:05;professional;2999;Apartamentos;Aluguel - apartamento padrão;R$ 927;R$ 131;77m²;2;2;1;Salão de festas, Área de serviço;Salão de festas, Elevador;04107021;São Paulo;Vila Mariana;Rua Paula Ney - de 371/372 a 599/600;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-vila-mariana-970013226
SÃO PAULO - Apartamento Padrão - VILA MARIANA;970013138;Código do anúncio: 4098ML  Apartamento nas proximidades do metrô Paraíso, com 2 dormitórios, 2 banheiros e sem vaga de garagem.;16/12;15:05;professional;1899;Apartamentos;Aluguel - apartamento padrão;R$ 540;;74m²;2;2;0;Área de serviço;;04105003;São Paulo;Vila Mariana;Rua Doutor Nicolau de Sousa Queirós - de 761/762 ao fim;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-vila-mariana-970013138
SAO PAULO - Apartamento Padrão - VILA MARIANA;970013160;Código do anúncio: 142550ML  . Pontos de Interesse mais Próximos:       Metrô VERGUEIRO a 243m.    Ponto de onibus a 85m.    Ciclovia LIBERDADE / VERGUEIRO, com extensão de 233m a uma distância de 62m.    Escola ETAPA III (ENEM: 706.12) a 890m.    Parque ACLIMACAO (Área: 136477m) a 1207m.;16/12;15:05;professional;2459;Apartamentos;Aluguel - apartamento padrão;R$ 350;R$ 90;17m²;1;1;0;Salão de festas, Mobiliado, Academia;Academia, Salão de festas;04101000;São Paulo;Vila Mariana;Rua Vergueiro - de 1291 a 2113 - lado ímpar;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-vila-mariana-970013160
SAO PAULO - Apartamento Padrão - ACLIMACAO;970013132;Código do anúncio: 110428ML  Ótimo apartamento com 03 dormitórios, sala para dois ambientes, cozinha com entrada de serviço, quarto e banheiro de empregada, área de serviço, 01 banheiro social e duas vagas de garagem. Imóvel totalmente arejado, com armários embutidos, sala com vista para a tranquila Rua Brás Cubas. Localização privilegiada, ao lado da Av. da Aclimação e do Parque da Aclimação, perto da igreja Nossa Senhora do Carmo da Aclimação, região com faculdades, bancos, hospitais e comércio em geral. Oportunidade para você morar bem. Vale a Pena conhecer!      . Pontos de Interesse mais Próximos:       Metrô PARAISO a 937m.    Ponto de onibus a 29m.    Ciclovia LIBERDADE / VERGUEIRO, com extensão de 233m a uma distância de 877m.    Escola ETAPA III (ENEM: 706.12) a 866m.    Parque ACLIMACAO (Área: 136477m) a 368m.;16/12;15:05;professional;2999;Apartamentos;Aluguel - apartamento padrão;R$ 1.100;R$ 100;114m²;3;2;2;Salão de festas, Área de serviço;Salão de festas;04105061;São Paulo;Vila Mariana;Rua Topázio - de 397/398 a 583/584;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-aclimacao-970013132
SÃO PAULO - Apartamento Padrão - VILA CLEMENTINO;970013059;Código do anúncio: 78709ML  Excelente apartamento de 84m², mobiliado, pronto para morar, com 03 dormitórios sendo 01 suíte com banheira, living para 02 ambientes com sacada, 02 vagas de garagem com deposíto. localização privilegiada próximo do parque ibirapuera, Av Sena Madureira e Av.23 de Maio , região com toda infraestrutura de comércio. venha conferir.          . Pontos de Interesse mais Próximos:       Metrô HOSPITAL SAO PAULO a 690m.    Ponto de onibus a 87m.    Ciclovia VILA MARIANA, com extensão de 437m a uma distância de 8m.    Escola POLIEDRO (ENEM: 673.38) a 1121m.    Parque IBIRAPUERA (Área: 1241744m) a 1326m.;16/12;15:05;professional;3499;Apartamentos;Aluguel - apartamento padrão;R$ 1.140;R$ 460;119m²;2;3;2;Salão de festas, Academia, Varanda, Piscina;Piscina, Elevador, Salão de festas, Academia;04021070;São Paulo;Vila Clementino;Largo Senador Raul Cardoso;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-vila-clementino-970013059
SAO PAULO - Apartamento Padrão - VILA MARIANA;970013035;Código do anúncio: 111437ML  Ensolarado !Ótima localização original conservado. Com 3 dormitórios, 1 vaga,   Predio com gerador.         . Pontos de Interesse mais Próximos:       Metrô PARAISO a 448m.    Ponto de onibus a 147m.    Ciclovia VILA MARIANA, com extensão de 437m a uma distância de 38m.    Escola ETAPA III (ENEM: 706.12) a 490m.    Parque ACLIMACAO (Área: 136477m) a 1640m.;16/12;15:05;professional;2799;Apartamentos;Aluguel - apartamento padrão;R$ 1.210;R$ 171;104m²;3;2;1;Salão de festas, Academia, Área de serviço;Salão de festas, Academia;04011032;São Paulo;Vila Mariana;Rua Eça de Queiroz - de 351/352 a 589/590;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-vila-mariana-970013035
SAO PAULO - Apartamento Padrão - VILA MARIANA;970012953;Código do anúncio: 143267ML  Apartamento nas proximidades do metrô Ana Rosa, com 2 dormitórios e 1 vaga de garagem. Condomínio com área de lazer completa.;16/12;15:05;professional;1999;Apartamentos;Aluguel - apartamento padrão;R$ 802;R$ 228;54m²;2;1;1;Varanda, Salão de festas, Academia;Salão de festas, Academia;04107022;São Paulo;Vila Mariana;Rua Paula Ney - de 601/602 ao fim;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-vila-mariana-970012953
SAO PAULO - Apartamento Padrão - VILA MARIANA;970012887;Código do anúncio: 140861ML  . Pontos de Interesse mais Próximos:       Metrô PARAISO a 620m.    Ponto de onibus a 88m.    Ciclovia LIBERDADE / VERGUEIRO, com extensão de 233m a uma distância de 619m.    Escola ETAPA III (ENEM: 706.12) a 501m.    Parque ACLIMACAO (Área: 136477m) a 706m.;16/12;15:05;professional;2999;Apartamentos;Aluguel - apartamento padrão;R$ 610;R$ 56;30m²;1;1;1;Piscina, Academia, Salão de festas, Ar condicionado;Salão de festas, Elevador, Piscina, Academia;04105062;São Paulo;Vila Mariana;Rua Topázio - de 585/586 a 719/720;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-vila-mariana-970012887
SAO PAULO - Apartamento Padrão - VILA MARIANA;970012891;Código do anúncio: 144591ML  Apartamento novo, com 2 dormitórios, sala com varanda, cozinha montada e 1 banheiro, sem vaga de garagem. Condomínio com piscina e churrasqueira.;16/12;15:05;professional;2699;Apartamentos;Aluguel - apartamento padrão;R$ 500;R$ 150;46m²;2;1;0;Varanda, Piscina;Piscina;04107001;São Paulo;Vila Mariana;Rua Gaspar Lourenço - de 137/138 ao fim;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-vila-mariana-970012891
SAO PAULO - Apartamento Padrão - VILA CLEMENTINO;970012903;Código do anúncio: 143967ML  VAO LIVRE + BANHEIRO. 33 M2, 1 SALA, 1 VAGA, PRÓXIMO A TRANSPORTE PUBLICO E COMÉRCIO EM GERAL.;16/12;15:05;professional;1499;Apartamentos;Aluguel - apartamento padrão;R$ 850;;32m²;1;1;1;;;04023062;São Paulo;Vila Clementino;Rua Botucatu - de 581/582 ao fim;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-vila-clementino-970012903
